,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
3-Indolepropionic acid,lightgreen,0.383456614522976,0.023871132548748,M17-3-Indolepropionic acid,-0.0210214346879112,0.676258202571395,0.84596613710772,-0.0110425968974808,0.827039918662199,0.895959911884049
5a-Dihydrotestosterone sulfate,cyan,0.919878938569171,0.776616170026492,M4-5a-Dihydrotestosterone sulfate,-0.0331363375718053,0.510322371803735,0.730717004812979,-0.0546528566191411,0.279167904739732,0.625721165795951
Androsterone sulfate,cyan,0.88112949857061,0.651469370094343,M4-Androsterone sulfate,-0.00985068983242992,0.844876713555626,0.943565782480958,-0.0273214895137351,0.588718539409147,0.799741138741765
Creatinine,yellowgreen,0.768700415378704,0.0300369424466989,M35-Creatinine,0.00361536884730994,0.94275406426892,0.980066441849182,-0.00742681248850666,0.883170172225569,0.935968389043402
Dehydroepiandrosterone Sulfate,cyan,0.811210456963506,0.296929558066178,M4-Dehydroepiandrosterone Sulfate,0.0219220132383961,0.663222713237961,0.844026465772319,0.00525455406309936,0.91719374888562,0.956431984132063
Epiandrosterone sulfate,cyan,0.858462563376493,0.417532811415809,M4-Epiandrosterone sulfate,0.0475218848398093,0.344957688840213,0.634591974753222,0.0218146946093982,0.665970422213229,0.847604501987145
Etiocholanolone sulfate,cyan,0.670090891004339,0.112685777236594,M4-Etiocholanolone sulfate,-0.0648494308281087,0.197259390955275,0.460447980340848,-0.0706851421640815,0.161407256226524,0.533464660409699
Glutamic acid,red,0.261732229838608,0.0467766177633058,M25-Glutamic acid,0.0527279046314899,0.294632844882521,0.580337421738299,0.0426977409951889,0.397988749179667,0.692926840089599
Glutamine,grey,0.105097165921817,0.0263182608759029,M14-Glutamine,-0.112286940423207,0.0252649975304047,0.187056026085135,-0.109871580600667,0.0292156091765458,0.227881751577058
Hippuric acid,lightgreen,0.574643944601037,0.0594526430378599,M17-Hippuric acid,0.0216904852631488,0.666564490917626,0.844026465772319,0.0265870909857173,0.598780544904091,0.799741138741765
Homoserine,grey,0.00272134056069109,0.0281732014382365,M14-Homoserine,-0.14445656230732,0.00392229920677045,0.0966551260182633,-0.140902827714798,0.00507952772267009,0.118588336379794
Indolelactic acid,yellowgreen,0.781113898230571,0.0417733170885921,M35-Indolelactic acid,-0.035893459476045,0.475754878289866,0.707296489944997,-0.0660475830257138,0.190781542343705,0.555259712791382
P-cresol sulfate,lightgreen,0.891398962520922,0.2561757300872,M17-P-cresol sulfate,0.102950181262201,0.0403400062631979,0.212228051340452,0.111586365994936,0.0267731150609662,0.219551758810313
P-cresyl glucuronide,lightgreen,0.717512129310295,0.153225041768685,M17-P-cresyl glucuronide,0.102467726594081,0.041291471095212,0.212228051340452,0.106922775096593,0.0338630244049603,0.244566287369158
Phenyl sulfate,grey,0.0873539472659073,0.00303119255804107,M14-Phenyl sulfate,-0.00836178832991759,0.868090049378922,0.943565782480958,-0.000104572993548874,0.99834908256686,0.99834908256686
phenylacetylglutamine,lightgreen,0.817100420106196,0.159495313018076,M17-phenylacetylglutamine,0.0829573758374528,0.098830880539839,0.344143244736939,0.0756299968937537,0.133980064177629,0.485662327164281
Phe-Phe,grey,-0.0759890455877401,0.00581902705008353,M14-Phe-Phe,0.0169485524329884,0.736375576149281,0.879680805918437,0.0116927630261341,0.817031089856594,0.895959911884049
Tryptophan,grey,0.039051235407693,0.00350170291837748,M14-Tryptophan,0.0679864813086454,0.176402731290439,0.451424457241324,0.0638338929493727,0.20611138919697,0.565759877896923
Uric acid,yellowgreen,0.835030426655165,0.0558267783390916,M35-Uric acid,-0.0452565199078713,0.368467689001739,0.653192721412174,-0.051602039920663,0.306923995011482,0.636704032204671
FFA 9_0,darkgreen,0.68463461516406,0.0737932530109255,M5-FFA 9_0,0.0431989734114267,0.390660487101824,0.666727338255337,0.0364815923873341,0.47024616965949,0.743590099022837
FFA 10_0,darkgreen,0.892214184864104,0.265053410560684,M5-FFA 10_0,0.14449035080122,0.00391381447710986,0.0966551260182633,0.136418412071507,0.00668959846244992,0.118588336379794
FFA 11_0,darkgreen,0.863357636768245,0.198650509675085,M5-FFA 11_0,0.144286179987227,0.00396533850331336,0.0966551260182633,0.139123189285372,0.00567125461832601,0.118588336379794
FFA 12_0,darkgreen,0.692153352267672,0.146678573371789,M5-FFA 12_0,0.0646926790936233,0.198346822300673,0.460447980340848,0.0578239537373683,0.252174243341027,0.59245755965663
FFA 14_0,red,0.765512954894279,1.68397967157499,M25-FFA 14_0,0.060012108778105,0.232854509645566,0.498973949240498,0.0443247253488313,0.380238680459009,0.686542061939877
FFA 14_1,red,0.696291513796484,1.22760698363298,M25-FFA 14_1,0.0128859908711084,0.797987444641777,0.909985682486237,0.00187243033422378,0.970446234178356,0.989959097058169
FFA 15_0,red,0.763863098460312,1.75073291073853,M25-FFA 15_0,0.022523774795952,0.654568442188511,0.844026465772319,0.0179368644404423,0.722639081393863,0.869533588171251
FFA 16_0,red,0.841394092809135,3.34609757659175,M25-FFA 16_0,0.065227439603616,0.19465493257741,0.460447980340848,0.061970445793657,0.219691101734068,0.565759877896923
FFA 16_1,red,0.795902563098128,2.39183209971319,M25-FFA 16_1,0.0385503677790583,0.443692125066387,0.692159715103564,0.0291698941204789,0.563744183462142,0.799741138741765
FFA 16_2,red,0.76304041885439,2.15703029616582,M25-FFA 16_2,0.0367159981244254,0.465695663987277,0.707296489944997,0.0250801084051747,0.619667029273634,0.810973628915159
FFA 16_3,red,0.792854233195227,2.34978272480408,M25-FFA 16_3,0.042003513459632,0.403918441310138,0.666727338255337,0.0313907888451186,0.534426731763472,0.79063763310095
FFA 17_0,red,0.907429692211963,4.51738105598568,M25-FFA 17_0,0.0622942719669537,0.215532960190527,0.471540514332032,0.0532194284101103,0.291990033192334,0.632645071916724
FFA 17_1,red,0.908698661483257,4.2968932644874,M25-FFA 17_1,0.0732691971418776,0.14505169580314,0.406692946057461,0.0618619131850486,0.220501285744442,0.565759877896923
FFA 18_0,red,0.862191984998934,3.47292658676081,M25-FFA 18_0,0.0791688409589049,0.115273318923333,0.362553180484675,0.0739810362938072,0.1426958973908,0.496887499842965
FFA 18_1,red,0.898692894429022,4.22625707812326,M25-FFA 18_1,0.0515937823149285,0.305155414018212,0.592321627663844,0.0406867191823154,0.420602796536406,0.70100466089401
FFA 18_2,red,0.881894662796729,4.126963962462,M25-FFA 18_2,0.0459305619651624,0.361370840496099,0.652475128673513,0.0288341385420864,0.568242674096745,0.799741138741765
FFA 18_3,red,0.811681917418305,2.43373116047521,M25-FFA 18_3,0.0512400590194119,0.308487516490226,0.592321627663844,0.0359509271242687,0.476732146470575,0.743590099022837
FFA 19_0,red,0.676189237294869,0.971946537725817,M25-FFA 19_0,0.0676971673296259,0.178254785679908,0.451424457241324,0.0664276136586591,0.18823618525301,0.555259712791382
FFA 19_1,red,0.903280719548669,4.0214232395287,M25-FFA 19_1,0.0624644623069675,0.214279294761319,0.471540514332032,0.051901890759572,0.304117968977394,0.636704032204671
FFA 20_0,red,0.317927281650333,0.133497446405421,M25-FFA 20_0,0.0209860143633398,0.676772909686176,0.84596613710772,0.0313870987844913,0.534474800075229,0.79063763310095
FFA 20_1,red,0.853188200937783,2.88206821028153,M25-FFA 20_1,0.0279896396245289,0.578183462459222,0.788431994262575,0.0194910741732573,0.699723166038369,0.859953403374272
FFA 20_2,red,0.903274859096902,4.2598091232391,M25-FFA 20_2,0.0132484492602185,0.792432906198967,0.908967157110579,-0.00369876291708501,0.941658639322747,0.976720397169871
FFA 20_3,red,0.857879862060688,3.12455438164787,M25-FFA 20_3,0.00181929921843313,0.97117470718005,0.992558264333675,-0.0112873106865256,0.823269351411565,0.895959911884049
FFA 20_4,red,0.672288266717841,1.0967060935035,M25-FFA 20_4,0.0173801485299393,0.729920605561088,0.878806581959866,0.0115279027347453,0.819566249911351,0.895959911884049
FFA 20_5,orange,0.853499566237638,0.272840231434383,M21-FFA 20_5,-0.00397005204322143,0.937149060817504,0.980066441849182,-0.00160099285866432,0.974728957103428,0.989959097058169
FFA 22_0,red,0.887354792371307,3.88820397507924,M25-FFA 22_0,0.0649687464471934,0.196434583249315,0.460447980340848,0.0499897930228109,0.322303513140735,0.647888840968431
FFA 22_1,red,0.442886889063071,0.202748547181538,M25-FFA 22_1,-0.0222286054245236,0.658807752260785,0.844026465772319,-0.03111464220805,0.538029930258188,0.79063763310095
FFA 22_2,red,0.871364255076544,3.47329270704498,M25-FFA 22_2,0.0310198531911145,0.537719213412073,0.74365423131457,0.0195814738032278,0.698398384567439,0.859953403374272
FFA 22_5,orange,0.897658197968837,0.39209500230041,M21-FFA 22_5,0.00477598441477023,0.924424998721692,0.974393917571513,-0.00290160046727986,0.954216802924361,0.97932777142237
FFA 22_6,orange,0.961647492292369,0.520454234593023,M21-FFA 22_6,-0.0201826737228572,0.688486569533336,0.849714437082281,-0.0266876171525504,0.597398653171464,0.799741138741765
FFA 24_0,red,0.413888736604955,0.178971827539261,M25-FFA 24_0,0.107261861855963,0.0326300463554713,0.198839344978653,0.111405796879888,0.0270217549305,0.219551758810313
FFA 24_1,red,0.696299348622715,1.15978418993999,M25-FFA 24_1,0.0498259337576614,0.322047307088082,0.609701212448311,0.0412767969684154,0.413890640419577,0.70100466089401
Pyrrolidine,purple,0.753886334254674,0.281762468721948,M24-Pyrrolidine,0.176949958594629,0.00039623333336741,0.0257551666688817,0.139710735394223,0.00546938087724979,0.118588336379794
Valerolactam,grey,-0.0242007421176716,0.00358851422698758,M14-Valerolactam,0.10904113322793,0.0298361017511398,0.193934661382409,0.101549866240232,0.043955665346918,0.285711824754967
Choline,purple,0.574596294882044,0.0245706126036911,M24-Choline,0.0539133816191778,0.283895762152402,0.564894628772636,0.0469487904299242,0.352651464566349,0.667641122237262
proline,purple,0.566192679660039,0.0202957264632384,M24-proline,0.00817671953378299,0.870983799213192,0.943565782480958,-0.0078945876872537,0.87586935182474,0.9333034076821
leucine,purple,0.849379692597369,0.303054106921099,M24-leucine,0.115537643110499,0.0213054022452745,0.166182137513141,0.0825233864784417,0.101917286599064,0.473187402067085
Indoline,purple,0.601986059707346,0.0359828638620052,M24-Indoline,0.0566962288540005,0.259738659620473,0.527594152354087,0.0491463837845035,0.330545114442643,0.648969754851252
Lysine,grey,-0.226785699378418,0.0086819954793107,M14-Lysine,-0.119730776005493,0.0170009156891008,0.156620577658585,-0.120310253540952,0.016885701993276,0.173300625720464
L-Carnitine,sienna3,0.855172896621369,0.0724857322972496,M29-L-Carnitine,-0.22361887594354,6.83962809580447e-06,0.001043059787213,-0.219867288255112,1.06084055251802e-05,0.00206863907741014
5-Formylsalicylic acid,grey,0.136494742538434,0.0261780216863448,M14-5-Formylsalicylic acid,-0.0218865929138247,0.663733525111695,0.844026465772319,-0.0356783754177632,0.480082243522324,0.743590099022837
5-Methoxysalicylic acid,grey,0.0869060499418777,0.0264888333227777,M14-5-Methoxysalicylic acid,0.000583427460013536,0.990754276038859,0.994292458868608,-0.0145725269612387,0.773076786368182,0.881578791472488
1-7-Dimethylxanthine,grey,0.157115400825449,0.282919108828114,M14-1-7-Dimethylxanthine,-0.105277747739728,0.0360059516289989,0.212228051340452,-0.136453076202847,0.00667557363939171,0.118588336379794
Propylparaben,green,0.597935096505413,0.0944412133938592,M12-Propylparaben,-0.218961631207617,1.06980490996206e-05,0.001043059787213,-0.211128378846766,2.38743980126024e-05,0.00232775380622874
L-Tyrosine,purple,0.661423346752936,0.0384726128335617,M24-L-Tyrosine,0.0806110913022256,0.108777798239984,0.354082941381398,0.0693871751753002,0.169262530601372,0.536239245738323
Caffeine,grey,0.181520980992237,0.282363165099749,M14-Caffeine,-0.117272567084221,0.0194214111894729,0.157798965914467,-0.15061802366231,0.00272382496201801,0.118588336379794
L-Acetylcarnitine(C2),sienna3,0.822628094573591,0.0618372632833986,M29-L-Acetylcarnitine(C2),-0.124963097067993,0.0127099152556508,0.145790204403054,-0.12728017860916,0.0114484292154492,0.147556026336487
Propionyl-L-carnitine(C3),sienna3,0.720569123036606,0.0253526649668852,M29-Propionyl-L-carnitine(C3),-0.111807182205842,0.0259000651502495,0.187056026085135,-0.120837646067718,0.0164068294914325,0.173300625720464
Butyrylcarnitine(C4),midnightblue,0.438003077251667,0.0480035447349194,M20-Butyrylcarnitine(C4),-0.0627221955629952,0.212390753416003,0.471540514332032,-0.0548236044813397,0.277666375458232,0.625721165795951
Valerylcarnitine(C5),midnightblue,0.470322685526915,0.0455094974911652,M20-Valerylcarnitine(C5),-0.00348059883186752,0.944884569577673,0.980066441849182,-0.0318000939004271,0.529108476198282,0.79063763310095
Hexadecanamide,steelblue,0.902885914190051,0.217720785093575,M31-Hexadecanamide,-0.073961957256869,0.141277539359879,0.406692946057461,-0.0610687742918249,0.226486827303116,0.572672602214176
Hexanoylcarnitine(C6),midnightblue,0.944914171380542,0.810705726274882,M20-Hexanoylcarnitine(C6),0.0996483158838617,0.0472381179217545,0.221100969379926,0.0879595908155637,0.0811971155985731,0.405985577992865
Oleamide,steelblue,0.781752876011449,0.17109467938372,M31-Oleamide,-0.0231715155824231,0.645304351066741,0.844026465772319,-0.0178053480379165,0.72458997887363,0.869533588171251
Stearamide,steelblue,0.781445271938494,0.0728324050000158,M31-Stearamide,-0.0592726015138826,0.238672837715199,0.50044304682219,-0.0434450820750085,0.389774452413378,0.689767129614935
2-Octenoylcarnitine(C8:1),darkgrey,0.940061111539001,0.604470757086123,M6-2-Octenoylcarnitine(C8:1),-0.00116791081046145,0.981493059945771,0.992558264333675,-0.0216782164707339,0.667935185544669,0.847604501987145
Octanoylcarnitine(C8),midnightblue,0.950814054561137,1.18989491166033,M20-Octanoylcarnitine(C8),0.137844480417206,0.00594108301243139,0.100527305152838,0.130477629489807,0.00952061343080562,0.147556026336487
Decadienoylcarnitine C10:3,darkgrey,0.940518500567442,0.600070638545283,M6-Decadienoylcarnitine C10:3,0.0132586242044043,0.792277128905514,0.908967157110579,-0.00675491594279727,0.893673990158222,0.936916280004587
fatty amide C20_1,darkturquoise,0.892231086361144,0.330779311857289,M11-fatty amide C20_1,-0.0138738243674887,0.78287404601194,0.908693089121002,-0.0193908645293066,0.701192775059021,0.859953403374272
DecenoylcarnitineC10:2,darkgrey,0.864810725830449,0.269294733566967,M6-DecenoylcarnitineC10:2,0.0486799086762034,0.333316338443317,0.624968134581219,0.0307116476880434,0.543309963259115,0.79063763310095
Carnitine C10:1,black,0.853579793744346,0.887958774558617,M1-Carnitine C10:1,0.107287395206467,0.0325884255404101,0.198839344978653,0.0946894043812102,0.0604112196370282,0.356975388764257
Decanoylcarnitine(C10),midnightblue,0.936866732398081,1.08898868108514,M20-Decanoylcarnitine(C10),0.138160287647124,0.00582667259776662,0.100527305152838,0.12702036577798,0.0116192823801605,0.147556026336487
17-Hydroxyprogesterone,black,0.381760842287882,0.0221035641976148,M1-17-Hydroxyprogesterone,-0.0691827091807561,0.168896562930818,0.451162051664515,-0.088585044444334,0.0790490971481156,0.405985577992865
FFA C22_1,darkturquoise,0.954205490832558,0.802596124627007,M11-FFA C22_1,-0.0422214108492718,0.401482110353554,0.666727338255337,-0.0411482575130796,0.415347376889354,0.70100466089401
carnitine C12:2,black,0.890855760744275,1.03017555492788,M1-carnitine C12:2,0.0762979708578709,0.129103747334235,0.384265072691578,0.0588724363973503,0.243661713298791,0.59245755965663
fatty amide C22_0,darkturquoise,0.941765255325275,0.766038540633552,M11-fatty amide C22_0,-0.0305208009758118,0.544284752424366,0.747433286779939,-0.030864228698846,0.541307827748966,0.79063763310095
Carnitine C12:1,pink,0.922124656450827,1.28336513318542,M23-Carnitine C12:1,0.0877483346983833,0.0807710078352885,0.306878145997239,0.0688995151922727,0.172286517949516,0.536239245738323
Carnitine C12:0,pink,0.937078738196517,1.45296483296019,M23-Carnitine C12:0,0.0884901457235535,0.078229902586366,0.305096620086828,0.075531071645505,0.134491105983955,0.485662327164281
Cortisone,grey,-0.612335745644417,0.126621456090525,M14-Cortisone,-0.0323900150147791,0.5198994685417,0.730717004812979,-0.0456944222458427,0.365677762800523,0.672709091944359
Hydrocortisone,grey,-0.591025449570117,0.125536846152711,M14-Hydrocortisone,0.076975180586465,0.125730840243995,0.383086153868421,0.0748670317774209,0.137960440466679,0.489132470745497
carnitine C14:3,pink,0.768057573484524,0.433882111855222,M23-carnitine C14:3,0.0434423081615311,0.387994465091785,0.666727338255337,0.024048397859244,0.634146150577832,0.818930459355478
Tetradecadiencarnitine C14:2,black,0.869065769248729,0.884740209374739,M1-Tetradecadiencarnitine C14:2,0.133541534917037,0.00771373250716644,0.102544159388231,0.126296615912588,0.0121071611353015,0.147556026336487
Tetradecenoylcarnitine C14:1,pink,0.949715849147922,1.40857441298392,M23-Tetradecenoylcarnitine C14:1,0.0642492051111846,0.201446969727284,0.462143048197887,0.0533159546926816,0.291114416412306,0.632645071916724
Tetradecanoylcarnitine C14,pink,0.811461837208589,0.612622364224738,M23-Tetradecanoylcarnitine C14,0.00896642958865818,0.858648296270808,0.943565782480958,-0.000535757322031969,0.991542030120969,0.99834908256686
Sphingosine-1-phosphate,grey,-0.206740197859768,0.00407695895334648,M14-Sphingosine-1-phosphate,0.137185604786154,0.00618629570171308,0.100527305152838,0.141099502357534,0.00501766975800114,0.118588336379794
Hexadecadienoylcarnitine C16:2,black,0.844183795843251,0.529601554187396,M1-Hexadecadienoylcarnitine C16:2,0.07070136759551,0.159714371217999,0.432559755382081,0.0836168300438598,0.0974433116204355,0.46344989673134
Hexadecenoylcarnitine C16:1,pink,0.781442773168905,0.414275530788138,M23-Hexadecenoylcarnitine C16:1,0.00852353154645639,0.865562459599267,0.943565782480958,0.016112793025523,0.749852139375318,0.869533588171251
